Id,Prediction
fadg0_si1909_173,dh
fadg0_si1909_174,dh
fadg0_si1909_175,sil
fadg0_si1909_176,sil
fadg0_si1909_177,sil
fadg0_si1909_178,sil
fadg0_si1909_179,sil
fadg0_si1909_180,sil
fadg0_si1909_181,r
fadg0_si1909_182,r
fadg0_si1909_183,r
fadg0_si1909_184,r
fadg0_si1909_185,sil
fadg0_si1909_186,sil
fadg0_si1909_187,sil
fadg0_si1909_188,sil
fadg0_si1909_189,sil
fadg0_si1909_190,dh
fadg0_si1909_191,dh
fadg0_si1909_192,aa
fadg0_si1909_193,aa
fadg0_si1909_194,ae
fadg0_si1909_195,dh
fadg0_si1909_196,s
fadg0_si1909_197,s
fadg0_si1909_198,s
fadg0_si1909_199,dh
fadg0_si1909_200,aa
fadg0_si1909_201,aa
fadg0_si1909_202,aa
fadg0_si1909_203,aa
fadg0_si1909_204,aa
fadg0_si1909_205,aa
fadg0_si1909_206,aa
fadg0_si1909_207,aa
fadg0_si1909_208,aa
fadg0_si1909_209,aa
fadg0_si1909_210,aa
fadg0_si1909_211,z
fadg0_si1909_212,z
fadg0_si1909_213,r
fadg0_si1909_214,r
fadg0_si1909_215,sil
fadg0_si1909_216,z
fadg0_si1909_217,r
fadg0_si1909_218,r
fadg0_si1909_219,sil
fadg0_si1909_220,sil
fadg0_si1909_221,sil
fadg0_si1909_222,sil
fadg0_si1909_223,r
fadg0_si1909_224,r
fadg0_si1909_225,r
fadg0_si1909_226,r
fadg0_si1909_227,dh
fadg0_si1909_228,dh
fadg0_si1909_229,ae
fadg0_si1909_230,ae
fadg0_si1909_231,dh
fadg0_si1909_232,z
fadg0_si1909_233,r
fadg0_si1909_234,sil
fadg0_si1909_235,sil
fadg0_si1909_236,sil
fadg0_si1909_237,sil
fadg0_si1909_238,sil
fadg0_si1909_239,sil
fadg0_si1909_240,sil
fadg0_si1909_241,sil
fadg0_si1909_242,sil
fadg0_si1909_243,sil
fadg0_si1909_244,sil
fadg0_si1909_245,sil
fadg0_si1909_246,l
fadg0_si1909_247,ih
fadg0_si1909_248,ih
fadg0_si1909_249,ae
fadg0_si1909_250,ae
fadg0_si1909_251,ae
fadg0_si1909_252,ae
fadg0_si1909_253,ae
fadg0_si1909_254,ae
fadg0_si1909_255,ae
fadg0_si1909_256,ae
fadg0_si1909_257,ae
fadg0_si1909_258,ae
fadg0_si1909_259,ae
fadg0_si1909_260,ae
fadg0_si1909_261,ae
fadg0_si1909_262,ae
fadg0_si1909_263,ae
fadg0_si1909_264,ae
fadg0_si1909_265,ih
fadg0_si1909_266,ih
fadg0_si1909_267,aa
fadg0_si1909_268,aa
fadg0_si1909_269,sil
fadg0_si1909_270,r
fadg0_si1909_271,r
fadg0_si1909_272,sil
fadg0_si1909_273,sil
fadg0_si1909_274,sil
fadg0_si1909_275,sil
fadg0_si1909_276,sil
fadg0_si1909_277,sil
fadg0_si649_1,r
fadg0_si649_2,r
fadg0_si649_3,r
fadg0_si649_4,r
fadg0_si649_5,r
fadg0_si649_6,r
fadg0_si649_7,r
fadg0_si649_8,sil
fadg0_si649_9,sil
fadg0_si649_10,sil
fadg0_si649_11,sil
fadg0_si649_12,sil
fadg0_si649_13,dh
fadg0_si649_14,dh
fadg0_si649_15,dh
fadg0_si649_16,z
fadg0_si649_17,ih
fadg0_si649_18,ih
fadg0_si649_19,aa
fadg0_si649_20,r
fadg0_si649_21,sil
fadg0_si649_22,sil
fadg0_si649_23,sil
fadg0_si649_24,sil
fadg0_si649_25,sil
fadg0_si649_26,sil
fadg0_si649_27,sil
fadg0_si649_28,sil
fadg0_si649_29,sil
fadg0_si649_30,sil
fadg0_si649_31,sil
fadg0_si649_32,sil
fadg0_si649_33,sil
fadg0_si649_34,sil
fadg0_si649_35,dh
fadg0_si649_36,dh
fadg0_si649_37,dh
fadg0_si649_38,l
fadg0_si649_39,l
fadg0_si649_40,l
fadg0_si649_41,l
fadg0_si649_42,l
fadg0_si649_43,l
fadg0_si649_44,l
fadg0_si649_45,l
fadg0_si649_46,r
fadg0_si649_47,r
fadg0_si649_48,r
fadg0_si649_49,r
fadg0_si649_50,r
fadg0_si649_51,r
fadg0_si649_52,l
fadg0_si649_53,l
fadg0_si649_54,l
fadg0_si649_55,l
fadg0_si649_56,l
fadg0_si649_57,iy
fadg0_si649_58,iy
fadg0_si649_59,iy
fadg0_si649_60,iy
fadg0_si649_61,aa
fadg0_si649_62,dh
fadg0_si649_63,dh
fadg0_si649_64,dh
fadg0_si649_65,sil
fadg0_si649_66,sil
fadg0_si649_67,sil
fadg0_si649_68,r
fadg0_si649_69,r
fadg0_si649_70,r
fadg0_si649_71,r
fadg0_si649_72,r
fadg0_si649_73,r
fadg0_si649_74,r
fadg0_si649_75,r
fadg0_si649_76,r
fadg0_si649_77,l
fadg0_si649_78,l
fadg0_si649_79,l
fadg0_si649_80,l
fadg0_si649_81,l
fadg0_si649_82,aa
fadg0_si649_83,aa
fadg0_si649_84,l
fadg0_si649_85,l
fadg0_si649_86,l
fadg0_si649_87,aa
fadg0_si649_88,aa
fadg0_si649_89,l
fadg0_si649_90,l
fadg0_si649_91,l
fadg0_si649_92,l
fadg0_si649_93,l
fadg0_si649_94,l
fadg0_si649_95,l
fadg0_si649_96,l
fadg0_si649_97,l
fadg0_si649_98,l
fadg0_si649_99,l
fadg0_si649_100,l
fadg0_si649_101,l
fadg0_si649_102,l
fadg0_si649_103,l
fadg0_si649_104,l
fadg0_si649_105,r
fadg0_si649_106,r
fadg0_si649_107,r
fadg0_si649_108,r
fadg0_si649_109,r
fadg0_si649_110,r
fadg0_si649_111,r
fadg0_si649_112,r
fadg0_si649_113,r
fadg0_si649_114,r
fadg0_si649_115,r
fadg0_si649_116,l
fadg0_si649_117,l
fadg0_si649_118,l
fadg0_si649_119,l
fadg0_si649_120,l
fadg0_si649_121,ih
fadg0_si649_122,sil
fadg0_si649_123,r
fadg0_si649_124,r
fadg0_si649_125,sil
fadg0_si649_126,sil
fadg0_si649_127,dh
fadg0_si649_128,dh
fadg0_si649_129,dh
fadg0_si649_130,dh
fadg0_si649_131,r
fadg0_si649_132,l
fadg0_si649_133,l
fadg0_si649_134,ih
fadg0_si649_135,dh
fadg0_si649_136,dh
fadg0_si649_137,sil
fadg0_si649_138,sil
fadg0_si649_139,sil
fadg0_si649_140,sil
fadg0_si649_141,aa
fadg0_si649_142,aa
fadg0_si649_143,sil
fadg0_si649_144,l
fadg0_si649_145,aa
fadg0_si649_146,aa
fadg0_si649_147,aa
fadg0_si649_148,aa
fadg0_si649_149,aa
fadg0_si649_150,aa
fadg0_si649_151,aa
fadg0_si649_152,aa
fadg0_si649_153,l
fadg0_si649_154,l
fadg0_si649_155,l
fadg0_si649_156,l
fadg0_si649_157,l
fadg0_si649_158,l
fadg0_si649_159,l
fadg0_si649_160,aa
fadg0_si649_161,aa
fadg0_si649_162,iy
fadg0_si649_163,dh
fadg0_si649_164,dh
fadg0_si649_165,l
fadg0_si649_166,l
fadg0_si649_167,dh
fadg0_si649_168,dh
fadg0_si649_169,dh
fadg0_si649_170,dh
fadg0_si649_171,r
fadg0_si649_172,r
fadg0_si649_173,r
fadg0_si649_174,r
fadg0_si649_175,r
fadg0_si649_176,r
fadg0_si649_177,r
fadg0_si649_178,dh
fadg0_si649_179,dh
fadg0_si649_180,l
fadg0_si649_181,l
fadg0_si649_182,l
fadg0_si649_183,l
fadg0_si649_184,l
fadg0_si649_185,l
fadg0_si649_186,l
fadg0_si649_187,aa
fadg0_si649_188,aa
fadg0_si649_189,aa
fadg0_si649_190,aa
fadg0_si649_191,r
fadg0_si649_192,r
fadg0_si649_193,r
fadg0_si649_194,ih
fadg0_si649_195,ih
fadg0_si649_196,ih
fadg0_si649_197,dh
fadg0_si649_198,r
fadg0_si649_199,r
fadg0_si649_200,sil
fadg0_si649_201,sil
fadg0_si649_202,sil
fadg0_si649_203,sil
fadg0_si649_204,sil
fadg0_si649_205,sil
fadg0_si649_206,sil
fadg0_si649_207,sil
fadg0_si649_208,r
fadg0_si649_209,r
fadg0_si649_210,r
fadg0_si649_211,r
fadg0_si649_212,r
fadg0_si649_213,r
fadg0_si649_214,ih
fadg0_si649_215,l
fadg0_si649_216,ae
fadg0_si649_217,r
fadg0_si649_218,r
fadg0_si649_219,r
fadg0_si649_220,r
fadg0_si649_221,r
fadg0_si649_222,r
fadg0_si649_223,r
fadg0_si649_224,l
fadg0_si649_225,l
fadg0_si649_226,sil
fadg0_si649_227,aa
fadg0_si649_228,aa
fadg0_si649_229,sil
fadg0_si649_230,r
fadg0_si649_231,r
fadg0_si649_232,sil
fadg0_si649_233,sil
fadg0_si649_234,sil
fadg0_si649_235,dh
fadg0_si649_236,l
fadg0_si649_237,l
fadg0_si649_238,l
fadg0_si649_239,l
fadg0_si649_240,l
fadg0_si649_241,l
fadg0_si649_242,dh
fadg0_si649_243,dh
fadg0_si649_244,dh
fadg0_si649_245,sil
fadg0_si649_246,sil
fadg0_si649_247,sil
fadg0_si649_248,sil
fadg0_si649_249,sil
fadg0_si649_250,sil
fadg0_si649_251,r
fadg0_si649_252,r
fadg0_si649_253,sil
fadg0_si649_254,sil
fadg0_si649_255,dh
fadg0_si649_256,dh
fadg0_si649_257,dh
fadg0_si649_258,l
fadg0_si649_259,r
fadg0_si649_260,r
fadg0_si649_261,aa
fadg0_si649_262,l
fadg0_si649_263,l
fadg0_si649_264,l
fadg0_si649_265,l
fadg0_si649_266,l
fadg0_si649_267,eh
fadg0_si649_268,eh
fadg0_si649_269,eh
fadg0_si649_270,eh
fadg0_si649_271,ae
fadg0_si649_272,ih
fadg0_si649_273,ih
fadg0_si649_274,aa
fadg0_si649_275,aa
fadg0_si649_276,dh
fadg0_si649_277,dh
fadg0_si649_278,dh
fadg0_si649_279,dh
fadg0_si649_280,r
fadg0_si649_281,r
fadg0_si649_282,sil
fadg0_si649_283,sil
fadg0_si649_284,sil
fadg0_si649_285,sil
fadg0_si649_286,sil
fadg0_si649_287,sil
fadg0_si649_288,dh
fadg0_si649_289,dh
fadg0_si649_290,sil
fadg0_si649_291,sil
fadg0_si649_292,sil
fadg0_si649_293,sil
fadg0_si649_294,sil
fadg0_si649_295,dh
fadg0_si649_296,dh
fadg0_si649_297,l
fadg0_si649_298,l
fadg0_si649_299,l
fadg0_si649_300,l
fadg0_si649_301,l
fadg0_si649_302,l
fadg0_si649_303,l
fadg0_si649_304,l
fadg0_si649_305,l
fadg0_si649_306,l
fadg0_si649_307,dh
fadg0_si649_308,sil
fadg0_si649_309,sil
fadg0_si649_310,sil
fadg0_si649_311,sil
fadg0_si649_312,aa
fadg0_si649_313,r
fadg0_si649_314,sil
fadg0_si649_315,sil
fadg0_si649_316,sil
fadg0_si649_317,sil
fadg0_si649_318,r
fadg0_si649_319,r
fadg0_si649_320,r
fadg0_si649_321,r
fadg0_si649_322,r
fadg0_si649_323,r
fadg0_si649_324,r
fadg0_si649_325,r
fadg0_si649_326,r
fadg0_si649_327,r
fadg0_si649_328,r
fadg0_si649_329,r
fadg0_si649_330,l
fadg0_si649_331,iy
fadg0_si649_332,ae
fadg0_si649_333,ae
fadg0_si649_334,ae
fadg0_si649_335,r
fadg0_si649_336,r
fadg0_si649_337,r
fadg0_si649_338,ih
fadg0_si649_339,l
fadg0_si649_340,r
fadg0_si649_341,r
fadg0_si649_342,r
fadg0_si649_343,r
fadg0_si649_344,r
fadg0_si649_345,r
fadg0_si649_346,r
fadg0_si649_347,l
fadg0_si649_348,l
fadg0_si649_349,l
fadg0_si649_350,l
fadg0_si649_351,l
fadg0_si649_352,l
fadg0_si649_353,l
fadg0_si649_354,l
fadg0_si649_355,l
fadg0_si649_356,l
fadg0_si649_357,aa
fadg0_si649_358,ch
fadg0_si649_359,ch
fadg0_si649_360,ae
fadg0_si649_361,ae
fadg0_si649_362,ae
fadg0_si649_363,l
fadg0_si649_364,l
fadg0_si649_365,l
fadg0_si649_366,l
fadg0_si649_367,l
fadg0_si649_368,l
fadg0_si649_369,l
fadg0_si649_370,l
fadg0_si649_371,l
fadg0_si649_372,aa
fadg0_si649_373,aa
fadg0_si649_374,l
fadg0_si649_375,l
fadg0_si649_376,l
fadg0_si649_377,l
fadg0_si649_378,ih
fadg0_si649_379,ih
fadg0_si649_380,ih
fadg0_si649_381,sil
fadg0_si649_382,sil
fadg0_si649_383,sil
fadg0_si649_384,sil
fadg0_si649_385,z
fadg0_si649_386,l
fadg0_si649_387,l
fadg0_si649_388,r
fadg0_si649_389,aa
fadg0_si649_390,l
fadg0_si649_391,l
fadg0_si649_392,dh
fadg0_si649_393,ch
fadg0_si649_394,sil
fadg0_si649_395,sil
fadg0_si649_396,ih
fadg0_si649_397,ih
fadg0_si649_398,ih
fadg0_si649_399,aa
fadg0_si649_400,aa
fadg0_si649_401,aa
fadg0_si649_402,aa
fadg0_si649_403,ih
fadg0_si649_404,ih
fadg0_si649_405,ih
fadg0_si649_406,ih
fadg0_si649_407,ih
fadg0_si649_408,ih
fadg0_si649_409,ae
fadg0_si649_410,ae
fadg0_si649_411,ae
fadg0_si649_412,ae
fadg0_si649_413,ih
fadg0_si649_414,dh
fadg0_si649_415,dh
fadg0_si649_416,sil
fadg0_si649_417,r
fadg0_si649_418,r
fadg0_si649_419,r
fadg0_si649_420,sil
fadg0_si649_421,sil
fadg0_si649_422,sil
fadg0_si649_423,sil
fadg0_si649_424,sil
fadg0_si649_425,sil
fadg0_si649_426,sil
fadg0_si649_427,sil
fadg0_si649_428,ae
fadg0_si649_429,ae
fadg0_si649_430,dh
fadg0_si649_431,r
fadg0_si649_432,r
fadg0_si649_433,r
fadg0_si649_434,r
fadg0_si649_435,dh
fadg0_si649_436,dh
fadg0_si649_437,r
fadg0_si649_438,r
fadg0_si649_439,aa
fadg0_si649_440,ih
fadg0_si649_441,sil
fadg0_si649_442,sil
fadg0_si649_443,sil
fadg0_si649_444,sil
fadg0_si649_445,sil
fadg0_si649_446,sil
fadg0_si649_447,r
fadg0_si649_448,r
fadg0_si649_449,r
fadg0_si649_450,r
fadg0_si649_451,r
fadg0_si649_452,r
fadg0_si649_453,r
fadg0_si649_454,r
fadg0_si649_455,r
fadg0_si649_456,r
fadg0_si649_457,r
fadg0_si649_458,r
fadg0_si649_459,r
fadg0_sx109_1,sil
fadg0_sx109_2,sil
fadg0_sx109_3,sil
fadg0_sx109_4,r
fadg0_sx109_5,r
fadg0_sx109_6,r
fadg0_sx109_7,r
fadg0_sx109_8,r
fadg0_sx109_9,r
fadg0_sx109_10,r
fadg0_sx109_11,sil
fadg0_sx109_12,sil
fadg0_sx109_13,dh
fadg0_sx109_14,r
fadg0_sx109_15,r
fadg0_sx109_16,dh
fadg0_sx109_17,dh
fadg0_sx109_18,sil
fadg0_sx109_19,r
fadg0_sx109_20,r
fadg0_sx109_21,r
fadg0_sx109_22,r
fadg0_sx109_23,sil
fadg0_sx109_24,sil
fadg0_sx109_25,sil
fadg0_sx109_26,z
fadg0_sx109_27,aa
fadg0_sx109_28,aa
fadg0_sx109_29,l
fadg0_sx109_30,l
fadg0_sx109_31,l
fadg0_sx109_32,dh
fadg0_sx109_33,dh
fadg0_sx109_34,r
fadg0_sx109_35,r
fadg0_sx109_36,sil
fadg0_sx109_37,sil
fadg0_sx109_38,sil
fadg0_sx109_39,sil
fadg0_sx109_40,sil
fadg0_sx109_41,sil
fadg0_sx109_42,sil
fadg0_sx109_43,sil
fadg0_sx109_44,r
fadg0_sx109_45,r
fadg0_sx109_46,dh
fadg0_sx109_47,l
fadg0_sx109_48,l
fadg0_sx109_49,l
fadg0_sx109_50,l
fadg0_sx109_51,eh
fadg0_sx109_52,eh
fadg0_sx109_53,eh
fadg0_sx109_54,l
fadg0_sx109_55,l
fadg0_sx109_56,l
fadg0_sx109_57,l
fadg0_sx109_58,l
fadg0_sx109_59,l
fadg0_sx109_60,dh
fadg0_sx109_61,dh
fadg0_sx109_62,z
fadg0_sx109_63,sil
fadg0_sx109_64,sil
fadg0_sx109_65,z
fadg0_sx109_66,l
fadg0_sx109_67,aa
fadg0_sx109_68,r
fadg0_sx109_69,r
fadg0_sx109_70,dh
fadg0_sx109_71,dh
fadg0_sx109_72,dh
fadg0_sx109_73,dh
fadg0_sx109_74,dh
fadg0_sx109_75,dh
fadg0_sx109_76,dh
fadg0_sx109_77,dh
fadg0_sx109_78,l
fadg0_sx109_79,l
fadg0_sx109_80,l
fadg0_sx109_81,l
fadg0_sx109_82,l
fadg0_sx109_83,ih
fadg0_sx109_84,r
fadg0_sx109_85,sil
fadg0_sx109_86,sil
fadg0_sx109_87,sil
fadg0_sx109_88,sil
fadg0_sx109_89,sil
fadg0_sx109_90,sil
fadg0_sx109_91,sil
fadg0_sx109_92,r
fadg0_sx109_93,r
fadg0_sx109_94,r
fadg0_sx109_95,sil
fadg0_sx109_96,z
fadg0_sx109_97,z
fadg0_sx109_98,r
fadg0_sx109_99,r
fadg0_sx109_100,l
fadg0_sx109_101,l
fadg0_sx109_102,l
fadg0_sx109_103,l
fadg0_sx109_104,l
fadg0_sx109_105,l
fadg0_sx109_106,r
fadg0_sx109_107,r
fadg0_sx109_108,r
fadg0_sx109_109,r
fadg0_sx109_110,l
fadg0_sx109_111,l
fadg0_sx109_112,l
fadg0_sx109_113,l
fadg0_sx109_114,l
fadg0_sx109_115,l
fadg0_sx109_116,l
fadg0_sx109_117,l
fadg0_sx109_118,l
fadg0_sx109_119,l
fadg0_sx109_120,l
fadg0_sx109_121,l
fadg0_sx109_122,l
fadg0_sx109_123,l
fadg0_sx109_124,l
fadg0_sx109_125,aa
fadg0_sx109_126,sil
fadg0_sx109_127,dh
fadg0_sx109_128,dh
fadg0_sx109_129,dh
fadg0_sx109_130,dh
fadg0_sx109_131,dh
fadg0_sx109_132,l
fadg0_sx109_133,l
fadg0_sx109_134,r
fadg0_sx109_135,r
fadg0_sx109_136,r
fadg0_sx109_137,r
fadg0_sx109_138,l
fadg0_sx109_139,l
fadg0_sx109_140,r
fadg0_sx109_141,r
fadg0_sx109_142,r
fadg0_sx109_143,l
fadg0_sx109_144,l
fadg0_sx109_145,r
fadg0_sx109_146,r
fadg0_sx109_147,l
fadg0_sx109_148,l
fadg0_sx109_149,l
fadg0_sx109_150,l
fadg0_sx109_151,l
fadg0_sx109_152,l
fadg0_sx109_153,l
fadg0_sx109_154,l
fadg0_sx109_155,l
fadg0_sx109_156,l
